text,label
Mindst 20 aflyste afgange: Letbaneproblemer fortsætter torsdag,neutral
"Det er pinligt, det er skamfuldt det er ikke superligaen værdigt! #sldk #bandegate #bandekonflikt #fckfcm",negative
"Kære larsclilleholt 
 Vidste du at klimaforandringerne får verdenshavene til at stige, og det vil skabe dobbelt så mange oversvømmelser om blot få årtier, viser nyt studie. Specielt København kan stå for skud! 
Hvad vil du gøre ved det? #dkpol",negative
"Véd ikke hvor gammel du er, men på min ""Glad-liste"" er Stig Møllers ""Sikke´n dejlig dag det er i dag"" - også Gnags ""Lav sol over Århus"", ""Safari"", ""Slingrer ned af Vestergade"", ""Sensommer på Strøget"" plus mange andre.",positive
To montenegrinske stjerner skifter til europæisk storklub -,neutral
"Og hvad synes du så, Søren, om måden Bager fik de 100.000 på?",negative
Teknologisk Institut: Nye vejledninger skal rådgive om altaner #altaner #dkbyg,neutral
"Jeg ser heller ikke nyheder så ofte længere (de dukker så op på Twitter, men...) Jeg så engang mange debatprogrammer - det gør jeg heller ikke mere i så høj grad. Niveauet og prioriteringerne har ændret sig ret drastisk, IMO og det er IKKE til det bedre :((",negative
Når man skal beskrive ungdommen for morfar,neutral
"Det er så synd for Ajax, at det her hold nok bliver splittet fra hinanden",negative
"Nyopførte parcelhuse er i snit 86 % procent større end i
1957, mens stigningen for stuehuse ligger på 56 % siden 1964.
#dkbiz #dkbol #dkøko #dkcre Kilde:",neutral
Opkøb trækker Royal Unibrew op i første kvartal,positive
"Endnu en gang må man spørge sig selv om, hvorfor denne type virksomhed ikke kan noteres i Danmark fremfor i Sverige. Jeg tror det er aktiesparekonto, kultur og manglende fokus på de spændende små virksomheder på den danske børs #iværksamf",negative
Hvad skal dit forbund hedde?,neutral
"Leo Vegas, hvor en 42-årig kvinde forleden tabte en halv mio. kr. på et døgn, er i dag klar med endnu en ulovlig annonce leveret af Det er utroligt, at danske politikere bliver ved med at tro, at bookmakerne regulerer sig selv #Utopia #dkpol",negative
"Alt for længe har homofobien fået lov at være en integreret del af sportsverdenen, med fodbold i spidsen. 

Det er forrykt når børn og unge lærer at homofobisk jargon hører hjemme på stadion, i klubben, på banen og i...",negative
Jonas Kamper gør comeback i Randers FC - som sælger. #sldk,positive
For mig var det Google Ads på diverse mediers sider,neutral
"fra skriver #dkmedier 
[LINK]",neutral
4 gange Kaptain arbejder i samme virksomhed,neutral
"Hvordan sætter vi strøm til et grønnere Danmark? Få svar fra og @USER, når vi inviterer til valgdebat sammen med d. 25. marts ➤ #dkpol #dkgreen #dkenergi",neutral
Hele vores flygtningesystem fra efter anden verdenskrig fungerer stadig. Vi har i FN netop opdateret i 2018 vedtaget migrationspagt. (Tak #talop) #epvalg19 #eudk #ep19dk #dkpol,neutral
"Rødovre Centrum-Michael Jackson-strategien, som den hedder",negative
"Godt med lidt staldtips til os, der aldrig nåede på GRIKU 😀",positive
"Det har du fuldstændigt ret i, og det er et stort problem for #dkmedier, at det ikke er lykkes at skabe en ordentlig booking-platform til dette segment.",positive
"#CentraliseringNejTak #DKPOL
Pinligt at lytte til VLAK+ DF
De har ikke styr på noget, ikke engang hvor mange ansatte der er i sundhedsvæsnet. Hvis man har udsultet regionerne i årevis, nu tilfører midler, som skal gå til nyt central Akut 113 og nyt IT system, virkelig borgernær",negative
"En oplysning, som vi ikke må overse! I sundhedsvæsenet skal vi behandle hinanden med respekt og ordentlighed.",positive
"Min pointe er, at EU ikke er en afsondret tredjepart. Det er et fællesskab, som Danmark indgår i.",neutral
Det er lige med at holde på hat og briller. Det bliver en dag fyldt med blæst 🌬🌬,neutral
"BREAKING NEWS!
Søren Espersen (DF), indrømmer, at Islam styrer og gir os hygge og dans. Han er rykket væk fra hans normale klamme, racistiske og dumme opslag mod Islam og indrømmer nu, at Islam også kan være dans og hygge.
Se, DET ville være BREAKING 😁😂

[LINK]",negative
"Tror du, jeg er åndsvag? Den der borgerliggørelse af det yderste højre, er alt for gennemskuelig og enormt trættende. Jeg hopper fra her, og fokuserer på kærligheden. Du skulle prøve dét.",negative
DF vil forbyde skolegang hvis opholdstilladelsen ryger,negative
"Der er mange knuste æg, men ingen omelet!",negative
Tysk vækst og stærke afgrøder skal sikre DLG rekordår i 2019,positive
"æh, hvor er de såkaldte ""højreradikale""?

Der er ikke én voldelig demonstration fra nogen højreradikale de seneste 25 år!? nævn en?

Det er en myte, vi har en ekstrem voldelig venstrefløj, som har taget side med islamisterne, og for dem er alle ""normale"" personer højreradikale",negative
"Tv-værten Abdel Aziz Mahmoud har købt [LINK],",neutral
RT @USER: Fedt at så mange unge mener at der skal gøres mere for klimaet #dkpol #eupol,positive
"0-1 AaB-Vejle Boldklub! '6: Mål af Gustaf Nilsson, Vejle Boldklub",positive
"Desværre, så kan de jo så nu bruge det som bevis på at kriminelle lømler sætter dagsordenen og blablabla. For dem er det en win win og det er samfundet der taber",negative
"Skål, og fremragende navneskift",positive
"Naturen er i krise og mangfoldigheden går tilbage i katastrofalt tempo. Vi tror på, at vi skal genetablere et nært forhold til naturen for at bekymre os om den - og passe på den. Derfor foreslår vi en demokratisering af vores natur #dkpol #dkgreen #fv19",negative
"Jaa, det glæder jeg mig også til! Det er en luksus at have så gode folk omkring sig 👏",positive
"""Nu er det op til May-regeringen selv at vælge enten den ansvarlige kurs, som EU har skitseret – eller at fortsætte kursen mod Hard Brexit""

Professor Derek Beach: May insisterer på at føre Storbritannien mod afgrunden (abon): #dkpol #eudk",negative
"I påsken er jeg på sidelinien her…
Tors #fckfcm
Fre #obfcn
Søn ViborgFF vs Næstved
Søn #vbagf
Man #rfcaab
Man #fcmbif
#sldk #NordicBetLigaen",neutral
At der skal være plads til udemokratiske religiøse nazister foran landets parlament siger alt om den seneste generation af landsforræderiske politikere #dkpol #TagDanmarkTilbage #islam,negative
"kommer til at hjælpe med at strømline og eksekvere Strategi 6.4. Og selvfølgelig skal vores presspil nuanceres og udvikles, men det kommer den nye træner til at stå for. Tror ikke vi kommer til at være så ultimative i presset, som under AZ, men mindre er også ok.",neutral
"At Venstre fotoshopper deres politik ved alle, men hvorfor også billederne af deres politikere? Er der intet ægte i det parti",negative
"#Asfaltaftalen får skarp kritik: 
""Den skal være meget mere grøn. Regeringen og Dansk Folkeparti vækker frustration i rød blok, hvor glæder sig til at rulle aftalen tilbage efter et valg med muligt rødt flertal.""
Citat: Berlingske kun for abonnenter
#dkpol #dkmedier",negative
"Sidder på Skt. Knuds gymnasium og overværer retorik-undervisning, der sidder en hel klasse, som ikke har lyst til at deltage i debatten på sociale medier, for “kampen er tabt på forhånd” “det er svært at være saglig, når andre ikke er”. “vi deltager kun i debatter for at få ret”",negative
"Netop min tanke. Kan det være en slags happening, der skal skabe opmærksomhed om misinformation på nettet før valgene?",neutral
Eller fordi det er godt at se hvor dårligt livet var før i tiden. De gode gamle dage findes ikke,negative
Udsigt til nye besparelser i kommunens budget,neutral
Tilskuer-boom i Superligaen: FCK spurter frem #brøndby #fcklive #agf #fcm #aab,positive
"Legekæden: Hvis ikke folk bruger os, så kan det være os, der må lukke næste gang (Dette er en plus-artikel)",negative
"Tersløse Kirke er blevet Vejkirke Tersløse Kirke er blevet en såkaldt Vejkirke. Det indebærer, at kirken året rundt kan besøges af turister og alle interesserede på følgende dage: Tirsdag-onsdag-torsdag kl. 8-15.",neutral
"Den foreløbige tidshorisont er, at ændringerne gælder til og med fredag d. 26/4.

Rejseplanen opdateres med ændringerne i løbet af onsdag formiddag.",neutral
"Begivenhedsrig første halvleg på både godt og ondt. Fodens scoring må varme enhver enhver Cityfans hjerte. Desværre måtte KdB humpe ud af banen med noget der ligner en forstrækning. 
#ManCitySpurs #pldk",positive
"Men det er jo problematisk, uansett om det er billedlig ment - det virker jo unektelig som barnet ikke har det så bra?
“She can see carbon dioxide with the naked eye. She sees how it flows out of chimneys and changes the atmosphere in a landfill.”",negative
"Det er overordnet en konjunkturer effekt, men hvor grupper med lav besk. oplever de største stigninger i beskæftigelsesgraden - så ja, de bidrog også, men de er ikke så mange at de kan flytte den aggregerede kurve så meget",neutral
